ticker_full,co_id,name,board,mcap,isin,cusip,sedar_issuer_no,former_names,stage,incorporation_jurisdiction
YARR.V,V-02430,Pirate Gold Corp.,TSXV,125756191.912,,,,,,
LITH.V,V-03725,Lithium Chile Inc.,TSXV,125065106.88,,,,,,
AGA.V,V-5034,Silver47 Exploration Corp.,TSXV,121021845.9,,,,,,
OCO.V,V-02769,Oroco Resource Corp.,TSXV,120603032.91,,,,,,
NEXM.V,V-03777,NexMetals Mining Corp.,TSXV,120490794.32,,,,,,
PWM.V,V-02549,Power Metals Corp.,TSXV,120413300.7,,,,,,
FPX.V,V-00708,FPX Nickel Corp.,TSXV,118500000.0,,,,,,
CCM.TO,CAN0049,Canagold Resources Ltd.,TSX,117672371.3,,,,,,
TUF.V,V-01944,Honey Badger Silver Inc.,TSXV,116704307.52,,,,,,
EMPR.V,V-04683,Empress Royalty Corp.,TSXV,116156795.46,,,,,,
FL.V,V-00930,Frontier Lithium Inc.,TSXV,115260838.86,,,,,,
LGC.V,V-04871,Lavras Gold Corp.,TSXV,112648758.23,,,,,,
LI.V,V-01262,American Lithium Corp.,TSXV,112492444.24,,,,,,
GMX.TO,GLO0015,Globex Mining Enterprises Inc.,TSX,112295586.92,,,,,,
SOI.V,V-01796,Sirios Resources Inc.,TSXV,110850120.15,,,,,,
HI.V,V-02361,Highland Copper Company Inc.,TSXV,110728218.3,,,,,,
TUO.V,V-01956,Teuton Resources Corp.,TSXV,110164261.04,,,,,,
FSY.TO,FOR0019,Forsys Metals Corp.,TSX,110126460.15,,,,,,
AEC.V,V-03758,Anfield Energy Inc.,TSXV,109409856.0,,,,,,
ECR.V,V-02425,Cartier Resources Inc.,TSXV,109309234.3,,,,,,
XTG.TO,XTR0002,Xtra-Gold Resources Corp.,TSX,107384316.27,,,,,,
SUM.V,V-5081,Summit Royalties Ltd.,TSXV,104395145.1,,,,,,
MJS.V,V-01204,Majestic Gold Corp.,TSXV,104266438.1,,,,,,
